"contexto","categoria_contexto","genero","quantidade","percentual","salario_medio","salario_mediano","ano"
"Geral","Todos","Prefiro não informar","13","0.37","14000.5","10000.5","2025"
"Cargo","Ciência de Dados","Prefiro não informar","3","0.71","5500.5","5000.5","2025"
"Cargo","Análise de Dados","Outro","2","0.33","9500.5","5000.5","2025"
"Geral","Todos","Prefiro não informar","16","0.3","14577.46","7000.5","2023"
"Cargo","Outros","Outro","2","0.34","6250.5","2500.5","2025"
"Cargo","Machine Learning / IA","Prefiro não informar","1","0.94","35000.5","35000.5","2025"
"Cargo","Machine Learning / IA","Feminino","16","15.09","12000.5","10000.5","2025"
"Cargo","Analytics Engineering","Prefiro não informar","1","0.74","35000.5","35000.5","2025"
"Cargo","Análise de Dados","Masculino","450","75.13","8914.95","7000.5","2025"
"Cargo","Outros","Prefiro não informar","1","0.17","3500.5","3500.5","2025"
"Senioridade","Pleno","Outro","1","0.13","5000.5","5000.5","2025"
"Senioridade","Júnior","Outro","2","0.39","2000.5","1500.5","2025"
"Senioridade","Júnior","Feminino","146","28.19","3781.31","3500.5","2025"
"Senioridade","Especialista / Staff+","Feminino","70","20.06","17471.94","14000.5","2025"
"Geral","Todos","Feminino","767","21.95","11085.38","10000.5","2025"
"Cargo","Ciência de Dados","Masculino","325","76.83","13300.51","10000.5","2025"
"Cargo","Análise de Dados","Feminino","147","24.54","8262.4","7000.5","2025"
"Cargo","Engenharia de Dados","Feminino","76","17.67","10395.24","10000.5","2025"
"Cargo","Machine Learning / IA","Masculino","89","83.96","19556.74","18000.5","2025"
"Cargo","Outros","Masculino","438","73.99","9634.06","7000.5","2025"
"Cargo","Ciência de Dados","Masculino","528","76.86","10740.09","10000.5","2023"
"Cargo","Engenharia de Dados","Masculino","557","81.43","12079.59","10000.5","2023"
"Cargo","Analytics Engineering","Masculino","100","74.07","13230.5","10000.5","2025"
"Cargo","Analytics Engineering","Feminino","34","25.19","12912.26","14000.5","2025"
"Cargo","Business Intelligence","Feminino","49","22.79","7673.95","7000.5","2025"
"Cargo","Engenharia de Dados","Masculino","353","82.09","15140.75","14000.5","2025"
"Cargo","Business Intelligence","Prefiro não informar","2","0.93","6750.5","3500.5","2025"
"Senioridade","Sênior","Prefiro não informar","2","0.23","22500.5","10000.5","2025"
"Senioridade","Especialista / Staff+","Outro","1","0.29","14000.5","14000.5","2025"
"Senioridade","Especialista / Staff+","Prefiro não informar","2","0.57","28750.5","22500.5","2025"
"Senioridade","Pleno","Prefiro não informar","2","0.26","7500.5","5000.5","2025"
"Senioridade","Especialista / Staff+","Masculino","276","79.08","20201.63","18000.5","2025"
"Senioridade","Sênior","Outro","3","0.35","9000.5","10000.5","2025"
"Senioridade","Pleno","Masculino","599","77.29","8280.13","7000.5","2025"
"Senioridade","Júnior","Masculino","367","70.85","4323.37","3500.5","2025"
"Cargo","Business Intelligence","Outro","1","0.2","10000.5","10000.5","2023"
"Cargo","Machine Learning / IA","Feminino","9","12.0","12111.61","10000.5","2023"
"Cargo","Análise de Dados","Prefiro não informar","1","0.11","7000.5","7000.5","2023"
"Cargo","Machine Learning / IA","Prefiro não informar","1","1.33","35000.5","35000.5","2023"
"Cargo","Engenharia de Dados","Feminino","125","18.27","9488.49","10000.5","2023"
"Senioridade","Júnior","Prefiro não informar","3","0.29","5833.83","7000.5","2023"
"Senioridade","Pleno","Outro","4","0.29","6125.5","5000.5","2023"
"Senioridade","Sênior","Masculino","1106","77.94","13863.08","14000.5","2023"
"Senioridade","Sênior","Feminino","307","21.63","12355.56","10000.5","2023"
"Senioridade","Júnior","Outro","1","0.1","1500.5","1500.5","2023"
"Geral","Todos","Masculino","3975","75.1","10872.14","10000.5","2023"
"Cargo","Business Intelligence","Feminino","108","21.34","5546.79","5000.5","2023"
"Cargo","Análise de Dados","Outro","2","0.22","8500.5","7000.5","2023"
"Cargo","Outros","Masculino","600","69.85","7700.5","5000.5","2023"
"Cargo","Machine Learning / IA","Outro","1","1.33","7000.5","7000.5","2023"
"Cargo","Outros","Feminino","255","29.69","7600.5","7000.5","2023"
"Cargo","Análise de Dados","Feminino","259","28.56","6917.49","7000.5","2023"
"Senioridade","Sênior","Outro","2","0.14","8500.5","7000.5","2023"
"Cargo","Machine Learning / IA","Masculino","64","85.33","12289.56","10000.5","2023"
"Cargo","Outros","Outro","2","0.23","2000.5","1500.5","2023"
"Cargo","Outros","Prefiro não informar","2","0.23","6000.5","5000.5","2023"
"Geral","Todos","Feminino","1293","24.43","8935.24","7000.5","2023"
"Senioridade","Pleno","Masculino","1047","75.22","7563.06","7000.5","2023"
"Senioridade","Júnior","Masculino","743","71.03","3991.14","3500.5","2023"
"Senioridade","Júnior","Feminino","299","28.59","3694.47","3500.5","2023"
"Senioridade","Pleno","Prefiro não informar","4","0.29","6750.5","5000.5","2023"
"Senioridade","Sênior","Prefiro não informar","4","0.28","31000.63","35000.5","2023"
"Geral","Todos","Outro","9","0.17","6143.36","7000.5","2023"
"Cargo","Analytics Engineering","Masculino","105","75.54","11443.36","10000.5","2023"
"Cargo","Analytics Engineering","Outro","1","0.72","5000.5","5000.5","2023"
"Cargo","Business Intelligence","Masculino","397","78.46","6424.93","5000.5","2023"
"Cargo","Ciência de Dados","Prefiro não informar","5","0.73","20800.6","14000.5","2023"
"Cargo","Analytics Engineering","Feminino","33","23.74","9939.89","7000.5","2023"
"Cargo","Engenharia de Dados","Prefiro não informar","2","0.29","5250.5","3500.5","2023"
"Cargo","Análise de Dados","Masculino","645","71.11","7222.21","5000.5","2023"
"Cargo","Ciência de Dados","Feminino","154","22.42","9487.52","10000.5","2023"
"Senioridade","Pleno","Feminino","337","24.21","7463.41","7000.5","2023"
