"dimensao","categoria","quantidade_profissionais","percentual","salario_medio","salario_mediano","ano"
"Experiência em Dados","Mais de 10 anos","585","12.03","20503.11","18000.5","2024"
"Experiência em Dados","de 5 a 6 anos","829","17.05","15166.97","14000.5","2024"
"Setor","Setor Automotivo","55","1.13","9664.15","7000.5","2024"
"Setor","Finanças ou Bancos","1035","21.29","11790.84","10000.5","2024"
"Setor","Setor de Energia","82","1.69","12549.3","10000.5","2024"
"Cargo","Business Intelligence","396","10.38","6511.85","5000.5","2024"
"Cargo","Análise de Dados","957","25.08","7997.36","7000.5","2024"
"Cargo","Analytics Engineering","228","5.97","10873.31","10000.5","2024"
"Senioridade","Pleno","1376","36.06","8049.92","7000.5","2024"
"Senioridade","Júnior","868","22.75","4151.98","3500.5","2024"
"Setor","Outra Opção","332","6.83","10538.15","7000.5","2024"
"Setor","Área da Saúde","195","4.01","10933.84","10000.5","2024"
"Setor","Seguros ou Previdência","65","1.34","11838.98","10000.5","2024"
"Cargo","Engenharia de Dados","660","17.3","12955.05","10000.5","2024"
"Setor","Tecnologia/Fábrica de Software","941","19.36","13033.99","10000.5","2024"
"Setor","Área de Consultoria","353","7.26","11214.39","10000.5","2024"
"Setor","Educação","194","3.99","10997.93","10000.5","2024"
"Setor","Varejo","380","7.82","12633.4","10000.5","2024"
"Setor","Setor Público","142","2.92","12504.02","10000.5","2024"
"Setor","Setor Farmaceutico","27","0.56","11130.17","10000.5","2024"
"Setor","Filantropia/ONG's","15","0.31","9867.17","10000.5","2024"
"Cargo","Ciência de Dados","687","18.0","11822.19","10000.5","2024"
"Senioridade","Sênior","1572","41.19","14492.88","14000.5","2024"
"Setor","Marketing","114","2.35","10491.73","7000.5","2024"
"Setor","Setor Imobiliário/ Construção Civil","74","1.52","12851.88","10000.5","2024"
"Setor","Indústria","328","6.75","11108.73","10000.5","2024"
"Setor","Setor Alimentício","143","2.94","12126.38","10000.5","2024"
"Setor","Telecomunicação","103","2.12","9199.53","7000.5","2024"
"Experiência em Dados","Menos de 1 ano","346","7.12","5012.05","3500.5","2024"
"Experiência em Dados","de 1 a 2 anos","944","19.42","6642.45","5000.5","2024"
"Experiência em Dados","Não tenho experiência na área de dados","230","4.73","6520.04","5000.5","2024"
"Cargo","Ciência de Dados","423","16.92","12853.93","10000.5","2025"
"Setor","Área de Consultoria","285","8.83","14428.59","10000.5","2025"
"Setor","Indústria","237","7.34","11373.92","10000.5","2025"
"Setor","Setor Alimentício","72","2.23","12597.74","10000.5","2025"
"Setor","Educação","163","5.05","11319.52","10000.5","2025"
"Setor","Área da Saúde","128","3.97","12742.7","10000.5","2025"
"Setor","Setor Automotivo","53","1.64","11283.51","10000.5","2025"
"Experiência em Dados","de 3 a 4 anos","813","25.19","10645.21","10000.5","2025"
"Experiência em Dados","de 5 a 6 anos","650","20.14","15008.97","14000.5","2025"
"Cargo","Analytics Engineering","135","5.4","13311.61","14000.5","2025"
"Cargo","Outros","592","23.68","9296.95","7000.5","2025"
"Cargo","Machine Learning / IA","106","4.24","18561.87","18000.5","2025"
"Senioridade","Júnior","518","20.72","4152.99","3500.5","2025"
"Setor","Outra Opção","243","7.53","11549.9","10000.5","2025"
"Cargo","Análise de Dados","599","23.96","8756.76","7000.5","2025"
"Cargo","Business Intelligence","215","8.6","7537.7","7000.5","2025"
"Cargo","Engenharia de Dados","430","17.2","14319.13","14000.5","2025"
"Senioridade","Pleno","775","31.0","8286.31","7000.5","2025"
"Senioridade","Especialista / Staff+","349","13.96","19685.35","18000.5","2025"
"Setor","Varejo","181","5.61","12547.48","10000.5","2025"
"Setor","Setor Público","136","4.21","11721.09","10000.5","2025"
"Experiência em Dados","de 7 a 10 anos","417","12.92","19459.78","18000.5","2025"
"Setor","Internet/Ecommerce","105","3.25","14976.73","14000.5","2025"
"Setor","Filantropia/ONG's","22","0.68","13841.43","14000.5","2025"
"Setor","Telecomunicação","75","2.32","10747.18","10000.5","2025"
"Setor","Seguros ou Previdência","43","1.33","11744.67","10000.5","2025"
"Experiência em Dados","de 1 a 2 anos","511","15.84","6967.23","5000.5","2025"
"Experiência em Dados","Mais de 10 anos","440","13.63","21806.24","18000.5","2025"
"Experiência em Dados","Não tenho experiência na área de dados","178","5.52","7781.39","5000.5","2025"
"Experiência em Dados","Menos de 1 ano","218","6.76","4697.73","3500.5","2025"
"Senioridade","Sênior","858","34.32","14318.7","14000.5","2025"
"Setor","Marketing","93","2.88","10489.75","10000.5","2025"
"Setor","Setor Imobiliário/ Construção Civil","46","1.43","11337.49","7000.5","2025"
"Setor","Tecnologia/Fábrica de Software","563","17.45","14244.75","10000.5","2025"
"Setor","Setor Farmaceutico","17","0.53","12529.94","10000.5","2025"
"Setor","Entretenimento ou Esportes","43","1.33","15186.58","10000.5","2025"
"Setor","Agronegócios","66","2.05","10803.53","10000.5","2025"
"Setor","Setor de Energia","58","1.8","12612.58","10000.5","2025"
"Setor","Finanças ou Bancos","598","18.53","14409.23","10000.5","2025"
